CLName,mainCLName,appName,domain,totalRecord,totalLobs,totalSizeGB,groupAvgSizeGB,groupMaxSizeGB,groupMinSizeGB,Max/Min,groupNum,groups
FRDCEQZ_qrtc_event_20240923.rt_f_sdb_eqz_events_conversion,,FRDCEQZ_qrtc_event_20240923.rt_f_sdb_eqz_events_conversion,FRDCEQZ,0,0,0,0,0,0,0,12,group37$group38$group39$group40$group41$group42$group43$group44$group45$group46$group47$group48
FRDCEQZ_qrtc_event_20241210.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,FRDCEQZ,0,0,0,0,0,0,0,12,group37$group38$group39$group40$group41$group42$group43$group44$group45$group46$group47$group48
FRDCEQZ_qrtc_event_20241211.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,FRDCEQZ,0,0,0,0,0,0,0,12,group37$group38$group39$group40$group41$group42$group43$group44$group45$group46$group47$group48
FRDCEQZ_qrtc_event_20241212.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,FRDCEQZ,0,0,0,0,0,0,0,12,group37$group38$group39$group40$group41$group42$group43$group44$group45$group46$group47$group48
FRDCEQZ_qrtc_event_20241213.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,FRDCEQZ,0,0,0,0,0,0,0,12,group37$group38$group39$group40$group41$group42$group43$group44$group45$group46$group47$group48
FRDCEQZ_qrtc_event_20241214.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,FRDCEQZ,0,0,0,0,0,0,0,12,group37$group38$group39$group40$group41$group42$group43$group44$group45$group46$group47$group48
FRDCEQZ_qrtc_event_20241215.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,FRDCEQZ,0,0,0,0,0,0,0,12,group37$group38$group39$group40$group41$group42$group43$group44$group45$group46$group47$group48
FRDCEQZ_qrtc_event_20241216.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,FRDCEQZ,0,0,0,0,0,0,0,12,group37$group38$group39$group40$group41$group42$group43$group44$group45$group46$group47$group48
FRDCEQZ_qrtc_event_20241217.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,FRDCEQZ,0,0,0,0,0,0,0,12,group37$group38$group39$group40$group41$group42$group43$group44$group45$group46$group47$group48
FRDCEQZ_qrtc_event_20241218.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,FRDCEQZ,0,0,0,0,0,0,0,12,group37$group38$group39$group40$group41$group42$group43$group44$group45$group46$group47$group48
FRDCEQZ_qrtc_event_PartMax.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,qrtc_event.rt_f_sdb_eqz_events_conversion,FRDCEQZ,0,0,0,0,0,0,0,12,group37$group38$group39$group40$group41$group42$group43$group44$group45$group46$group47$group48
